"","INSPECTION_YEAR","ORIGIN","PEST_TAXONOMY_GENUS","PEST_TAXONOMY_SPECIES","PEST_TAXON_SIMPLE_NAME","COMMODITY_DISPLAY_NAME","COMMODITY_TAXONOMIC_DISPLAY_NAME","total_pests"
"145",2021,"Colombia","Copitarsia",NA,"Copitarsia","Ornithogalum sp. - Ornithogalum","Ornithogalum sp.",2
"146",2021,"Colombia","Copitarsia",NA,"Copitarsia","Petroselinum crispum - PARSLEY","Petroselinum crispum",1
"147",2021,"Colombia","Copitarsia",NA,"Copitarsia","Physalis peruviana - CAPE GOOSEBERRY","Physalis peruviana",1
"148",2021,"Colombia","Copitarsia",NA,"Copitarsia","Ranunculus sp. - Ranunculus","Ranunculus sp.",10
"149",2021,"Colombia","Copitarsia",NA,"Copitarsia","Rosa sp. - Rosa","Rosa sp.",4
"150",2021,"Colombia","Copitarsia",NA,"Copitarsia","Rosmarinus officinalis - ROSEMARY","Rosmarinus officinalis",2
"151",2021,"Colombia","Copitarsia",NA,"Copitarsia","Ruscus sp. - Ruscus","Ruscus sp.",1
"152",2021,"Colombia","Copitarsia",NA,"Copitarsia","Solidago sp. - Solidago","Solidago sp.",14
"153",2021,"Colombia","Copitarsia",NA,"Copitarsia","Tagetes sp. - Tagetes","Tagetes sp.",1
"154",2021,"Colombia","Copitarsia",NA,"Copitarsia","Thymus vulgaris - THYME","Thymus vulgaris",33
"155",2021,"Costa Rica","Copitarsia",NA,"Copitarsia","Anthurium sp. - Anthurium","Anthurium sp.",1
"156",2021,"Costa Rica","Copitarsia",NA,"Copitarsia","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.",1
"157",2021,"Costa Rica","Copitarsia",NA,"Copitarsia","Eustoma sp. - Eustoma","Eustoma sp.",1
"158",2021,"Dominican Republic","Copitarsia","decolora","decolora",NA,NA,1
"159",2021,"Ecuador","Copitarsia","decolora","decolora","Chrysanthemum sp.  - Chrysanthemum","Chrysanthemum sp. ",1
"160",2021,"Ecuador","Copitarsia","decolora","decolora","Moluccella sp. - Moluccella","Moluccella sp.",1
"161",2021,"Ecuador","Copitarsia",NA,"Copitarsia","Alstroemeria sp. - Alstroemeria","Alstroemeria sp.",38
"162",2021,"Ecuador","Copitarsia",NA,"Copitarsia","Amaranthus sp.  - Amaranthus","Amaranthus sp. ",13
"163",2021,"Ecuador","Copitarsia",NA,"Copitarsia","Anemone sp. - Anemone","Anemone sp.",2
"164",2021,"Ecuador","Copitarsia",NA,"Copitarsia","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.",13
"165",2021,"Ecuador","Copitarsia",NA,"Copitarsia","Brassica sp.  - Brassica","Brassica sp. ",6
"166",2021,"Ecuador","Copitarsia",NA,"Copitarsia","Chrysanthemum sp.  - Chrysanthemum","Chrysanthemum sp. ",7
"167",2021,"Ecuador","Copitarsia",NA,"Copitarsia","Craspedia sp. - Craspedia","Craspedia sp.",1
"168",2021,"Ecuador","Copitarsia",NA,"Copitarsia","Dianthus sp. - Dianthus","Dianthus sp.",4
"169",2021,"Ecuador","Copitarsia",NA,"Copitarsia","Eryngium sp. - Eryngium","Eryngium sp.",3
"170",2021,"Ecuador","Copitarsia",NA,"Copitarsia","Eustoma sp. - Eustoma","Eustoma sp.",3
"171",2021,"Ecuador","Copitarsia",NA,"Copitarsia","Gypsophila sp. - Gypsophila","Gypsophila sp.",1
"172",2021,"Ecuador","Copitarsia",NA,"Copitarsia","Helianthus sp. - Helianthus","Helianthus sp.",7
"173",2021,"Ecuador","Copitarsia",NA,"Copitarsia","Hypericum sp. - Hypericum","Hypericum sp.",2
"174",2021,"Ecuador","Copitarsia",NA,"Copitarsia","Kalanchoe sp. - Kalanchoe","Kalanchoe sp.",1
"175",2021,"Ecuador","Copitarsia",NA,"Copitarsia","Limonium sp. - Limonium","Limonium sp.",3
"176",2021,"Ecuador","Copitarsia",NA,"Copitarsia","Matthiola sp. - Matthiola","Matthiola sp.",38
"177",2021,"Ecuador","Copitarsia",NA,"Copitarsia","Moluccella sp. - Moluccella","Moluccella sp.",10
"178",2021,"Ecuador","Copitarsia",NA,"Copitarsia","Ornithogalum sp. - Ornithogalum","Ornithogalum sp.",1
"179",2021,"Ecuador","Copitarsia",NA,"Copitarsia","Ranunculus sp. - Ranunculus","Ranunculus sp.",1
"180",2021,"Ecuador","Copitarsia",NA,"Copitarsia","Rosa sp. - Rosa","Rosa sp.",1
"181",2021,"Ecuador","Copitarsia",NA,"Copitarsia","Senecio sp.  - Senecio","Senecio sp. ",1
"182",2021,"Ecuador","Copitarsia",NA,"Copitarsia","Solidago sp. - Solidago","Solidago sp.",1
"183",2021,"Ecuador","Copitarsia",NA,"Copitarsia","Trachelium sp. - Trachelium","Trachelium sp.",1
