"","INSPECTION_YEAR","ORIGIN","COMMODITY_DISPLAY_NAME","COMMODITY_TAXONOMIC_DISPLAY_NAME","total_pests"
"219",2022,"Colombia","Chrysanthemum sp.  - Chrysanthemum","Chrysanthemum sp. ",48
"220",2022,"Colombia","Coriandrum sativum (Apiaceae) - Coriandrum sativum ","Coriandrum sativum (Apiaceae)",1
"221",2022,"Colombia","Dahlia sp. - Dahlia","Dahlia sp.",1
"222",2022,"Colombia","Delphinium sp. - Delphinium","Delphinium sp.",1
"223",2022,"Colombia","Dianthus caryophyllus - Dianthus caryophyllus","Dianthus caryophyllus",1
"224",2022,"Colombia","Dianthus sp. - Dianthus","Dianthus sp.",34
"225",2022,"Colombia","Eryngium sp. - Eryngium","Eryngium sp.",8
"226",2022,"Colombia","Gerbera sp.  - Gerbera","Gerbera sp. ",2
"227",2022,"Colombia","Gypsophila sp. - Gypsophila","Gypsophila sp.",1
"228",2022,"Colombia","Helianthus sp. - Helianthus","Helianthus sp.",7
"229",2022,"Colombia","Hydrangea sp. - Hydrangea","Hydrangea sp.",3
"230",2022,"Colombia","Lactuca sativa - LETTUCE","Lactuca sativa",1
"231",2022,"Colombia","Limonium sp. - Limonium","Limonium sp.",4
"232",2022,"Colombia","Matthiola sp. - Matthiola","Matthiola sp.",2
"233",2022,"Colombia","Mentha sp. - MINT","Mentha sp.",102
"234",2022,"Colombia","Mentha sp. - Mentha","Mentha sp.",1
"235",2022,"Colombia","Moluccella sp. - Moluccella","Moluccella sp.",4
"236",2022,"Colombia","Ocimum basilicum (Lamiaceae) - Ocimum basilicum ","Ocimum basilicum (Lamiaceae)",3
"237",2022,"Colombia","Origanum majorana - MARJORAM","Origanum majorana",3
"238",2022,"Colombia","Origanum vulgare - OREGANO (EUROPEAN)","Origanum vulgare",40
"239",2022,"Colombia","Ranunculus sp. - Ranunculus","Ranunculus sp.",9
"240",2022,"Colombia","Rosa sp. - Rosa","Rosa sp.",2
"241",2022,"Colombia","Rosmarinus officinalis - ROSEMARY","Rosmarinus officinalis",3
"242",2022,"Colombia","Solidago sp. - Solidago","Solidago sp.",4
"243",2022,"Colombia","Tagetes sp. - Tagetes","Tagetes sp.",2
"244",2022,"Colombia","Thymus vulgaris - THYME","Thymus vulgaris",11
"245",2022,"Costa Rica","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.",1
"246",2022,"Costa Rica","Celosia sp. - Celosia","Celosia sp.",1
"247",2022,"Ecuador","Alstroemeria sp. - Alstroemeria","Alstroemeria sp.",49
"248",2022,"Ecuador","Amaranthus sp.  - Amaranthus","Amaranthus sp. ",1
"249",2022,"Ecuador","Anemone sp. - Anemone","Anemone sp.",3
"250",2022,"Ecuador","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.",5
"251",2022,"Ecuador","Aster sp.  - Aster","Aster sp. ",1
"252",2022,"Ecuador","Astrantia sp. - Astrantia","Astrantia sp.",1
"253",2022,"Ecuador","Bupleurum sp. - Bupleurum","Bupleurum sp.",1
"254",2022,"Ecuador","Calendula sp.  - Calendula","Calendula sp. ",1
"255",2022,"Ecuador","Delphinium sp. - Delphinium","Delphinium sp.",1
"256",2022,"Ecuador","Dianthus sp. - Dianthus","Dianthus sp.",3
"257",2022,"Ecuador","Gypsophila sp. - Gypsophila","Gypsophila sp.",1
"258",2022,"Ecuador","Helianthus sp. - Helianthus","Helianthus sp.",2
"259",2022,"Ecuador","Hypericum sp. - Hypericum","Hypericum sp.",1
"260",2022,"Ecuador","Limonium sp. - Limonium","Limonium sp.",8
"261",2022,"Ecuador","Matthiola sp. - Matthiola","Matthiola sp.",23
"262",2022,"Ecuador","Melanophylla sp. - Melanophylla","Melanophylla sp.",1
"263",2022,"Ecuador","Moluccella sp. - Moluccella","Moluccella sp.",5
"264",2022,"Ecuador","Ozothamnus sp. - Ozothamnus","Ozothamnus sp.",2
"265",2022,"Ecuador","Ranunculus sp. - Ranunculus","Ranunculus sp.",2
