"COMMODITY_DISPLAY_NAME","COMMODITY_TAXONOMIC_DISPLAY_NAME","INSPECTION_PATHWAY","total_pests"
"Other","Cucurbita sp.","Land Border - Truck - Cargo - CBP",8
"Other","Gerbera sp. ","Airport - Aircraft - Cargo - CBP",8
"Other","Hippeastrum sp.","Maritime Port - Vessel - Cargo - PIS",8
"Other","Rubus sp.","Land Border - Truck - Cargo - CBP",8
NA,NA,"Maritime Port - Vessel - Conveyance - CBP",8
"Other","Brassica oleracea var. alboglabra ","Land Border - Truck - Cargo - CBP",7
"Other","Cichorium intybus var. foliosum ","Land Border - Truck - Cargo - CBP",7
"Other","Eruca vesicaria subsp. sativa","Land Border - Truck - Cargo - CBP",7
"Other","Glebionis coronaria (Asteraceae)","Land Border - Truck - Cargo - CBP",7
"Other","Luffa sp. ","Maritime Port - Vessel - Cargo - CBP",7
"Other","Momordica charantia (Cucurbitaceae)","Maritime Port - Vessel - Cargo - CBP",7
"Other","Persea americana","Maritime Port - Vessel - Cargo - CBP",7
"Other","Solidaster sp.","Land Border - Truck - Cargo - CBP",7
"Tagetes sp.  - Tagetes","Tagetes sp. ","Land Border - Truck - Conveyance - CBP",7
"Other","Apium graveolens var. rapaceum ","Maritime Port - Vessel - Cargo - CBP",6
"Other","Brassica rapa subsp. rapa (Brassicaceae)","Land Border - Truck - Cargo - CBP",6
"Other","Chlorophytum comosum","Airport - Aircraft - Cargo - PIS",6
"Other","Cichorium endivia (Asteraceae)","Land Border - Truck - Cargo - CBP",6
"Other","Dysphania ambrosioides","Land Border - Truck - Cargo - CBP",6
"Other","Echeveria sp.","Airport - Aircraft - Cargo - PIS",6
"Other","Hydrangea sp.","Airport - Aircraft - Cargo - CBP",6
"Other","Jacobaea sp. ","Land Border - Truck - Cargo - CBP",6
"Other","Limonium sp.","Airport - Aircraft - Cargo - CBP",6
"Other","Luffa sp. ","Airport - Aircraft - Cargo - CBP",6
"Other","Petroselinum crispum (Apiaceae)","Airport - Aircraft - Cargo - CBP",6
"Other","Pisum sativum var. macrocarpon ","Maritime Port - Vessel - Cargo - CBP",6
"Other","Solanum melongena","Airport - Aircraft - Cargo - CBP",6
"Other","Veronica sp.","Land Border - Truck - Cargo - CBP",6
"Other","Asparagus sp.","Land Border - Truck - Cargo - CBP",5
"Other","Aster sp. ","Airport - Aircraft - Cargo - CBP",5
"Other","Callistephus sp. ","Airport - Aircraft - Cargo - CBP",5
"Other","Chamaedorea sp. ","Land Border - Truck - Cargo - CBP",5
"Other","Chrysanthemum sp. ","Maritime Port - Vessel - Cargo - CBP",5
"Other","Citrus aurantium (Rutaceae)","Maritime Port - Vessel - Cargo - CBP",5
"Other","Citrus latifolia (Rutaceae)","Maritime Port - Vessel - Cargo - CBP",5
"Other","Cyamopsis tetragonoloba","Airport - Aircraft - Cargo - CBP",5
